features,label
"data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
"service_degradation, udp_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"syn_flood, amplification_traffic, icmp_flood, slow_loris_attack, ntp_amplification",Distributed Denial of Service (DDoS)
"syn_flood, http_flood",Distributed Denial of Service (DDoS)
"suspicious_email_link, whaling_attempt, vishing_indicators",Phishing
"xss_payload_detected, script_tag_in_input, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"udp_flood, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"session_hijacking, ssl_certificate_mismatch, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"unusual_gateway_mac, session_hijacking, bgp_hijacking",Man-in-the-Middle (MitM)
"fake_login_page, brand_impersonation",Phishing
"port_scanning, network_mapping, dns_enumeration, version_detection, tcp_connect_scan",Reconnaissance
"union_based_payload, stacked_queries, db_error_in_response",SQL Injection
"syn_flood, icmp_flood",Distributed Denial of Service (DDoS)
"service_enumeration, tcp_connect_scan",Reconnaissance
"process_injection, data_exfiltration_before_encryption",Ransomware
"out_of_band_sqli, encoded_sql_payload, time_delay_response",SQL Injection
"service_degradation, amplification_traffic, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"icmp_flood, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"registry_modification, process_injection",Ransomware
"service_enumeration, ping_sweep, traceroute_activity",Reconnaissance
"tautology_in_query, time_delay_response",SQL Injection
"service_enumeration, dns_enumeration, traceroute_activity",Reconnaissance
"service_enumeration, banner_grabbing, traceroute_activity",Reconnaissance
"multiple_failed_auth, dictionary_attack, account_lockout_triggered",Brute Force Attack
"network_mapping, version_detection",Reconnaissance
"port_scanning, banner_grabbing, dns_enumeration",Reconnaissance
"sql_injection_pattern, union_based_payload, tautology_in_query",SQL Injection
"ssl_stripping, ip_spoofing",Man-in-the-Middle (MitM)
"traceroute_activity, idle_scan, version_detection",Reconnaissance
"failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"high_login_attempts, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"arp_spoofing, ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"brute_force_login, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"udp_flood, amplification_traffic, slow_loris_attack",Distributed Denial of Service (DDoS)
"suspicious_email_link, email_header_anomaly, spear_phishing_indicators",Phishing
"ransom_note_created, file_rename_burst, bitcoin_address_in_note",Ransomware
"blind_sqli_timing, union_based_payload, encoded_sql_payload",SQL Injection
"email_header_anomaly, lookalike_domain, urgency_in_email",Phishing
"os_fingerprinting, ping_sweep, version_detection",Reconnaissance
"credential_harvesting, spear_phishing_indicators",Phishing
"lookalike_domain, urgency_in_email, spear_phishing_indicators",Phishing
"credential_harvesting, fake_login_page, brand_impersonation",Phishing
"email_header_anomaly, malicious_attachment, vishing_indicators",Phishing
"session_hijacking, bgp_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"xss_payload_detected, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"os_fingerprinting, banner_grabbing, traceroute_activity",Reconnaissance
"c2_communication, registry_modification, process_injection, lateral_movement",Ransomware
"shadow_copy_deletion, file_rename_burst, registry_modification",Ransomware
"sql_injection_pattern, error_based_response, union_based_payload",SQL Injection
"fake_login_page, malicious_attachment, vishing_indicators",Phishing
"sql_injection_pattern, unusual_db_query, out_of_band_sqli, db_error_in_response",SQL Injection
"multiple_failed_auth, high_login_attempts, credential_stuffing",Brute Force Attack
"credential_stuffing, password_spraying, failed_rdp_attempts",Brute Force Attack
"rogue_dhcp_server, ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"dns_spoofing, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"unusual_gateway_mac, rogue_dhcp_server, packet_interception, session_hijacking, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"c2_communication, file_rename_burst, bitcoin_address_in_note",Ransomware
"suspicious_email_link, brand_impersonation, spear_phishing_indicators",Phishing
"udp_flood, icmp_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"banner_grabbing, whois_lookup, idle_scan",Reconnaissance
"unusual_gateway_mac, ip_spoofing",Man-in-the-Middle (MitM)
"mass_file_encryption, lateral_movement, data_exfiltration_before_encryption",Ransomware
"sql_injection_pattern, error_based_response, time_delay_response",SQL Injection
"shadow_copy_deletion, c2_communication, bitcoin_address_in_note",Ransomware
"arp_spoofing, session_hijacking, ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"service_enumeration, banner_grabbing, tcp_connect_scan",Reconnaissance
"ransom_note_created, bitcoin_address_in_note",Ransomware
"error_based_response, blind_sqli_timing, out_of_band_sqli, time_delay_response",SQL Injection
"union_based_payload, db_error_in_response",SQL Injection
"bandwidth_saturation, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"high_traffic_volume, service_degradation, http_flood, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"http_flood, amplification_traffic, slow_loris_attack",Distributed Denial of Service (DDoS)
"reflected_payload, stored_xss_payload",Cross-Site Scripting (XSS)
"lookalike_domain, malicious_attachment, whaling_attempt",Phishing
"fake_login_page, urgency_in_email, malicious_attachment, whaling_attempt",Phishing
"service_enumeration, whois_lookup, traceroute_activity, idle_scan",Reconnaissance
"os_fingerprinting, dns_enumeration, traceroute_activity",Reconnaissance
"mass_file_encryption, shadow_copy_deletion, c2_communication",Ransomware
"rogue_dhcp_server, session_hijacking, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"password_spraying, failed_ssh_attempts",Brute Force Attack
"dns_enumeration, traceroute_activity, tcp_connect_scan",Reconnaissance
"dns_enumeration, traceroute_activity, idle_scan",Reconnaissance
"sql_injection_pattern, out_of_band_sqli, db_error_in_response",SQL Injection
"service_degradation, syn_flood, dns_amplification",Distributed Denial of Service (DDoS)
"service_degradation, connection_exhaustion",Distributed Denial of Service (DDoS)
"account_lockout_triggered, rapid_auth_requests, auth_log_flooding",Brute Force Attack
"brute_force_login, high_login_attempts, auth_log_flooding",Brute Force Attack
"xss_payload_detected, malicious_iframe_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"ssl_stripping, unusual_gateway_mac, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"certificate_anomaly, unusual_gateway_mac, rogue_dhcp_server",Man-in-the-Middle (MitM)
"xss_payload_detected, cookie_theft_attempt, reflected_payload",Cross-Site Scripting (XSS)
"backup_deletion, registry_modification",Ransomware
"credential_harvesting, fake_login_page, lookalike_domain, brand_impersonation, spear_phishing_indicators",Phishing
"sql_injection_pattern, error_based_response, boolean_blind_sqli",SQL Injection
"ping_sweep, whois_lookup, idle_scan",Reconnaissance
"arp_spoofing, dns_spoofing, evil_twin_ap",Man-in-the-Middle (MitM)
"os_fingerprinting, network_mapping, dns_enumeration",Reconnaissance
"credential_stuffing, rapid_auth_requests, auth_log_flooding",Brute Force Attack
"credential_stuffing, account_lockout_triggered, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"sql_injection_pattern, stacked_queries, db_error_in_response",SQL Injection
"suspicious_email_link, domain_spoofing, fake_login_page, urgency_in_email, spear_phishing_indicators",Phishing
"ping_sweep, dns_enumeration, version_detection",Reconnaissance
"backup_deletion, registry_modification, process_injection",Ransomware
"sql_injection_pattern, blind_sqli_timing, union_based_payload, tautology_in_query, encoded_sql_payload",SQL Injection
"union_based_payload, out_of_band_sqli, encoded_sql_payload",SQL Injection
"c2_communication, file_rename_burst, lateral_movement",Ransomware
"service_enumeration, banner_grabbing, dns_enumeration",Reconnaissance
"xss_payload_detected, cookie_theft_attempt, javascript_uri_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"ransom_note_created, c2_communication, registry_modification, bitcoin_address_in_note",Ransomware
"unusual_gateway_mac, packet_interception, ssl_certificate_mismatch, ip_spoofing",Man-in-the-Middle (MitM)
"ransom_note_created, shadow_copy_deletion, unusual_file_extension",Ransomware
"port_scanning, network_mapping, traceroute_activity, version_detection",Reconnaissance
"unusual_db_query, error_based_response, time_delay_response",SQL Injection
"brute_force_login, high_login_attempts, credential_stuffing",Brute Force Attack
"account_lockout_triggered, failed_rdp_attempts",Brute Force Attack
"domain_spoofing, brand_impersonation, vishing_indicators",Phishing
"high_traffic_volume, udp_flood, icmp_flood, slow_loris_attack, bandwidth_saturation",Distributed Denial of Service (DDoS)
"xss_payload_detected, script_tag_in_input, event_handler_injection",Cross-Site Scripting (XSS)
"high_login_attempts, account_lockout_triggered",Brute Force Attack
"amplification_traffic, icmp_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"domain_spoofing, fake_login_page, whaling_attempt",Phishing
"os_fingerprinting, banner_grabbing, idle_scan",Reconnaissance
"certificate_anomaly, session_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"domain_spoofing, fake_login_page",Phishing
"arp_spoofing, rogue_dhcp_server, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"os_fingerprinting, banner_grabbing, whois_lookup, idle_scan, tcp_connect_scan",Reconnaissance
"brute_force_login, account_lockout_triggered, auth_log_flooding",Brute Force Attack
"service_degradation, amplification_traffic, dns_amplification",Distributed Denial of Service (DDoS)
"amplification_traffic, icmp_flood, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"unusual_file_extension, file_rename_burst, data_exfiltration_before_encryption",Ransomware
"domain_spoofing, brand_impersonation, spear_phishing_indicators",Phishing
"dom_manipulation, event_handler_injection, javascript_uri_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"service_enumeration, ping_sweep, dns_enumeration, whois_lookup, version_detection",Reconnaissance
"certificate_anomaly, bgp_hijacking",Man-in-the-Middle (MitM)
"error_based_response, blind_sqli_timing, out_of_band_sqli",SQL Injection
"multiple_failed_auth, password_spraying, auth_log_flooding",Brute Force Attack
"service_degradation, slow_loris_attack, bandwidth_saturation, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"stored_xss_payload, event_handler_injection",Cross-Site Scripting (XSS)
"script_tag_in_input, cookie_theft_attempt, stored_xss_payload, javascript_uri_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"error_based_response, tautology_in_query, time_delay_response",SQL Injection
"fake_login_page, malicious_attachment, spear_phishing_indicators, vishing_indicators",Phishing
"multiple_failed_auth, credential_stuffing, failed_ssh_attempts",Brute Force Attack
"xss_payload_detected, event_handler_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"banner_grabbing, ping_sweep, whois_lookup",Reconnaissance
"sql_injection_pattern, stacked_queries, boolean_blind_sqli",SQL Injection
"credential_harvesting, lookalike_domain, urgency_in_email, brand_impersonation",Phishing
"dns_spoofing, unusual_gateway_mac, packet_interception",Man-in-the-Middle (MitM)
"os_fingerprinting, service_enumeration, ping_sweep, traceroute_activity, version_detection",Reconnaissance
"c2_communication, file_rename_burst, data_exfiltration_before_encryption",Ransomware
"syn_flood, http_flood, ntp_amplification",Distributed Denial of Service (DDoS)
"ssl_certificate_mismatch, ip_spoofing",Man-in-the-Middle (MitM)
"credential_harvesting, email_header_anomaly, malicious_attachment, brand_impersonation",Phishing
"fake_login_page, lookalike_domain, urgency_in_email, whaling_attempt",Phishing
"high_login_attempts, dictionary_attack",Brute Force Attack
"rogue_dhcp_server, bgp_hijacking",Man-in-the-Middle (MitM)
"unusual_db_query, stacked_queries, boolean_blind_sqli",SQL Injection
"high_traffic_volume, udp_flood, amplification_traffic",Distributed Denial of Service (DDoS)
"high_login_attempts, password_spraying, failed_ssh_attempts",Brute Force Attack
"credential_harvesting, lookalike_domain, whaling_attempt",Phishing
"out_of_band_sqli, encoded_sql_payload",SQL Injection
"port_scanning, traceroute_activity",Reconnaissance
"certificate_anomaly, unusual_gateway_mac, packet_interception",Man-in-the-Middle (MitM)
"domain_spoofing, email_header_anomaly, vishing_indicators",Phishing
"service_degradation, slow_loris_attack, ntp_amplification",Distributed Denial of Service (DDoS)
"credential_stuffing, account_lockout_triggered",Brute Force Attack
"sql_injection_pattern, error_based_response, db_error_in_response, tautology_in_query, encoded_sql_payload",SQL Injection
"credential_stuffing, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"multiple_failed_auth, dictionary_attack, account_lockout_triggered, failed_ssh_attempts",Brute Force Attack
"service_enumeration, idle_scan, version_detection",Reconnaissance
"traceroute_activity, idle_scan, tcp_connect_scan",Reconnaissance
"network_mapping, ping_sweep, whois_lookup",Reconnaissance
"password_spraying, dictionary_attack, rapid_auth_requests",Brute Force Attack
"unusual_db_query, blind_sqli_timing, time_delay_response",SQL Injection
"port_scanning, network_mapping, traceroute_activity",Reconnaissance
"ransom_note_created, unusual_file_extension, file_rename_burst, backup_deletion, data_exfiltration_before_encryption",Ransomware
"suspicious_email_link, spear_phishing_indicators",Phishing
"sql_injection_pattern, union_based_payload, out_of_band_sqli, db_error_in_response",SQL Injection
"db_error_in_response, boolean_blind_sqli",SQL Injection
"c2_communication, data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
